date_sign_up,customer_id,product_name,marketing_channel,City
4/14/18 10:56,218057,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:01,218060,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 10:58,218061,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:27,218063,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:45,218070,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:03,218072,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:05,218076,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:05,218077,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 15:38,218093,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 11:11,218096,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Los Angeles
4/14/18 11:14,218100,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:18,218111,3 Meals (vegetarian) for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:19,218113,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:23,218118,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:29,218130,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 11:30,218142,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:33,218150,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:34,218151,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:35,218152,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:38,218164,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 11:49,218206,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:52,218221,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 11:52,218224,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:54,218225,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:55,218247,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:59,218264,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 11:59,218265,3 Meals (vegetarian) for 2 people,Search Engine Marketing,Los Angeles
4/14/18 12:01,218275,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 12:01,218277,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 12:21,218289,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 12:12,218337,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 12:25,218387,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 12:26,218395,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 12:30,218406,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 12:30,218409,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 12:37,218429,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 12:38,218432,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 13:03,218504,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 13:11,218523,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 13:11,218532,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 13:14,218541,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 13:16,218546,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 13:28,218575,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 15:44,218593,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 13:41,218614,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 13:49,218630,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 13:54,218644,Classic - 3 meals per week for 2 people,Partnership Marketing,Los Angeles
4/14/18 13:58,218653,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 14:31,218671,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 14:19,218695,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 14:18,218697,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 14:24,218705,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 15:35,218708,Classic - 3 meals per week for 4 people,TV / Radio Advertising,San Francisco
4/14/18 14:44,218751,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 14:46,218763,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 15:19,218784,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 14:55,218792,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 16:05,218796,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 14:57,218797,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 14:57,218799,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 15:13,218813,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 15:18,218839,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 15:23,218852,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 15:27,218860,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/18 15:33,218870,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 15:39,218883,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 15:42,218889,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
